"Product ID";"Image";"Name";"Reference";"Category";"Base price";"Final price";"Quantity";"Status";"Position"
"129";"";"FLOWPACK NOUGAT BLANC 1.3 KG";"";"";"55.83";"67";"2.384185791015625E-7";"";"0"
"130";"";"FLOWPACK NOUGAT NOR CROQUANT 1.3 KG";"";"";"55.83";"67";"2.384185791015625E-7";"";"0"
"131";"";"FLOWPACK NOUGAT FRUIT 1.3 KG";"";"";"55.83";"67";"2.384185791015625E-7";"";"0"
"132";"";"FLOWPACK NOUGAT COCO - CARAMEL 1.3 KG";"";"";"55.83";"67";"2.46047960672513E-7";"";"0"
"133";"";"NOUGAT PISTACHE 1300 GR";"";"";"72.58";"87.09999999999999";"2.384185791015625E-7";"";"0"
"134";"";"FLOWPACK NOUGAT FRAMBOISE 1.3 KG";"";"";"55.83";"67";"2.46047960672513E-7";"";"0"
"135";"";"DARJEELING BIO THE NOIR 1KG";"";"";"82.5";"99";"1.5420000553131104";"";"0"
"136";"";"TOUT D'UN GRAND BIO THE VERT 1KG";"";"";"68.25";"74";"1.2719999551773071";"";"0"
"137";"";"QUE DU BONHEUR THE VERT BIO 1KG";"";"";"68.25";"74";"0.8539998531341553";"";"0"
"138";"";"SMOOTHIE CITRON THE VERT 1KG";"";"";"75.83";"86";"0.7859998941421509";"";"0"
"139";"";"HAUT COMME TROIS POMMES THE NOIR AROMATISE 1KG";"";"";"64.45";"74";"1.095999836921692";"";"0"
"140";"";"NOUGAT MAISON THE NOIR 1KG";"";"";"68.25";"74";"0.4419999420642853";"";"0"
"141";"";"LE CLOCHER COMTOIS THE NOIR 1KG";"";"";"64.45";"70";"1.151999831199646";"";"0"
"142";"";"JARDIN JAPONAIS THE VERT 1KG";"";"";"72.04000000000001";"78";"1.3439996242523193";"";"0"
"143";"";"ENVIE DE FRAISE THE NOIR 1KG";"";"";"64.45";"70";"0.7079999446868896";"";"0"
"144";"";"THE DE LA CHANCE THE VERT 1KG";"";"";"72.04000000000001";"82";"1.5499999523162842";"";"0"
"145";"";"CARAMELS SUR LE BUFFET THE THE VERT AROMATISE 1KG";"";"";"68.25";"74";"1.4959999322891235";"";"0"
"147";"";"LE CHANT DU COQ THE VERT 1KG";"";"";"68.25";"74";"0.39099979400634766";"";"0"
"148";"";"LE TEMPS PRESENT BIO THE VERT 1KG";"";"";"72.04000000000001";"78";"0.6039998531341553";"";"0"
"149";"";"SUBTIL VANILLE THE NOIR AROMATISE 1KG";"";"";"68.25";"82";"0.6999999284744263";"";"0"
"150";"";"SYMPHONIE OR & CHAMPAGNE THE BLANC AROMATISE 500G";"";"";"104.31";"117";"0.5739999413490295";"";"0"
"151";"";"CALME ET VOLUP'THE INFUSION HERBE 1KG";"";"";"72.04000000000001";"83";"0.7119999527931213";"";"0"
"152";"";"DOUCE NUIT INFUSION HERBES 1KG";"";"";"77.73";"84";"0.8759996891021729";"";"0"
"153";"";"ENTRE AMIS  BIO INFUSION HERBE 1KG";"";"";"82.45999999999999";"88";"1.0";"";"0"
"154";"";"MA BONNE ETOILE INFUSION HERBE 1KG";"";"";"68.25";"78";"1.397999882698059";"";"0"
"155";"";"MON PTIT COEUR INFUSION FRUIT 1KG";"";"";"72.04000000000001";"86";"0.8939999938011169";"";"0"
"156";"";"ROSE EN SUCRE INFUSION FRUIT 1KG";"";"";"72.04000000000001";"82";"1.2999999523162842";"";"0"
"157";"";"SILENCE CA TOURNE INFUSION FRUIT 1KG";"";"";"72.04000000000001";"78";"0.653999924659729";"";"0"
"158";"";"VACHEMENT SYMPA INFUSION FRUIT 1KG";"";"";"68.25";"74";"0.8979998826980591";"";"0"
"159";"";"PIQUE NIQUE INFUSION D'ETE FRUIT 1KG";"";"";"68.25";"74";"0.5599998831748962";"";"0"
"160";"";"VACANCES EN BRETAGNE ROOIBOS 1KG";"";"";"55.92";"89";"0.8999999761581421";"";"0"
"161";"";"SOUS LA COUETTE ROOIBOS 1KG";"";"";"63.51";"89";"0.7799999713897705";"";"0"
"162";"";"LA TETE DANS LES ETOILES ROOIBOS 1KG";"";"";"63.51";"93";"0.7859997749328613";"";"0"
"163";"";"GUITARE ET SOMBRERO ROOIBOS AROMATISE 1KG";"";"";"59.72";"89";"0.9759999513626099";"";"0"
"164";"";"NID DOUILLET BIO ROOIBOS 1KG";"";"";"72.04000000000001";"99";"0.8339999914169312";"";"0"
"165";"";"MUFFIN MYRTILLE 1KG";"";"";"59.72";"94";"1.2019999027252197";"";"0"
"166";"";"BOITE ARGENT EN METAL RECTANGULAIRE 1KG";"";"";"0";"0";"30.0";"";"0"
"167";"";"PELLE A THE ELEGANCE 100G";"";"";"0";"0";"1.0";"";"0"
"168";"";"BOITE CYLINDRIQUE EARL GREY TEA THE NOIR 5X50G";"";"";"0";"0";"0.0";"";"0"
"169";"";"BOITE CYLINDRIQUE THE NOIR EARL GREY TEA 50G";"";"";"6.54";"6.9";"8.0";"";"0"
"170";"";"BOITE CYLINDRIQUE LE CLOCHER COMTOIS THE NOIR 5X50G";"";"";"0";"0";"0.0";"";"0"
"171";"";"BOITE CYLINDRIQUE LE CLOCHER COMTOIS  THE NOIR 50G";"";"";"6.54";"6.9";"5.0";"";"0"
"172";"";"BOITE CYLINDRIQUE THE DE LA CHANCE THE VERT 5X40G";"";"";"0";"0";"0.0";"";"0"
"173";"";"BOITE CYLINDRIQUE THE DE LA CHANCE THE VERT 40G";"";"";"6.54";"6.9";"5.0";"";"0"
"174";"";"BOITE CYLINDRIQUE LE CHANT DU COQ THE VERT 5X40G";"";"";"0";"0";"0.0";"";"0"
"175";"";"BOITE CYLINDRIQUE LE CHANT DU COQ THE VERT 40G";"";"";"6.54";"6.9";"0.0";"";"0"
"176";"";"BOITE CYLINDRIQUE TOUJOURS LA INFUSION 5X70G";"";"";"0";"0";"0.0";"";"0"
"177";"";"BOITE CYLINDRIQUE TOUJOURS LA INFUSION 70G";"";"";"6.54";"6.9";"6.0";"";"0"
"178";"";"BOITE CYLINDRIQUE MA BONNE ETOILE INFUSION 5X70G";"";"";"0";"0";"0.0";"";"0"
"179";"";"BOITE CYLINDRIQUE MA BONNE ETOILE INFUSION 70G";"";"";"6.54";"6.9";"4.0";"";"0"
"180";"";"BOITE CYLINDRIQUE ROSE EN SUCRE INFUSION 5X70G";"";"";"0";"0";"0.0";"";"0"
"181";"";"BOITE CYLINDRIQUE ROSE EN SUCRE INFUSION 70G";"";"";"6.54";"6.9";"7.0";"";"0"
"182";"";"BOITE CYLINDRIQUE SILENCE CA TOURNE INFUSION 5X80G";"";"";"0";"0";"0.0";"";"0"
"183";"";"BOITE CYLINDRIQUE SILENCE CA TOURNE INFUSION  80G";"";"";"6.54";"6.9";"7.0";"";"0"
"184";"";"BOITE CYLINDRIQUE VACHEMENT SYMPA INFUSION 5X40G";"";"";"0";"0";"0.0";"";"0"
"185";"";"BOITE CYLINDRIQUE VACHEMENT SYMPA INFUSION 40G";"";"";"6.54";"6.9";"3.0";"";"0"
"186";"";"BOITE CYLINDRIQUE  VA CANCES EN BRETAGNE ROOIBOS 5X50G";"";"";"0";"0";"0.0";"";"0"
"187";"";"BOITE CYLINDRIQUE VACANCES EN BRETAGNE ROOIBOS 50G";"";"";"6.54";"6.9";"2.0";"";"0"
"188";"";"BOITE SACHET DARJEELING THE NOIR 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"189";"";"BOITE SACHET DARJEELING THE NOIR 24 SACHETS";"";"";"7.49";"7.9";"6.0";"";"0"
"190";"";"BOITE SACHET CEYLAN DE KENILWORTH THE NOIR 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"191";"";"BOITE SACHET  CEYLAN DE KENILWORTH THE NOIR 24 SACHETS";"";"";"7.49";"7.9";"5.0";"";"0"
"192";"";"BOITE SACHET TOUT D'UN GRAND THE VERT 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"193";"";"BOITE SACHET  TOUT D'UN GRAND THE VERT 24 SACHETS";"";"";"7.49";"7.9";"2.0";"";"0"
"194";"";"BOITE SACHET EARL GREY TEA THE NOIR 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"195";"";"BOITE SACHET EARL GREY TEA THE NOIR 24 SACHETS";"";"";"7.49";"7.9";"4.0";"";"0"
"196";"";"BOITE SACHET THE JASMIN THE VERT 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"197";"";"BOITE SACHET  THE JASMIN THE VERT 24 SACHETS";"";"";"7.49";"7.9";"5.0";"";"0"
"198";"";"BOITE SACHET  LE CLOCHER COMTOIS THE NOIR 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"199";"";"BOITE SACHET LE CLOCHER COMTOIS THE NOIR 24 SACHETS";"";"";"7.49";"7.9";"2.0";"";"0"
"200";"";"BOITE SACHET  THE DE LA CHANCE THE VERT 6X24 SACHETS";"";"";"0";"0";"0.0";"";"0"
"201";"";"BOITE SACHET THE DE LA CHANCE THE VERT 24 SACHETS";"";"";"7.49";"7.9";"7.0";"";"0"
